Gemeindeschluessel,Gemeinde,genehmigte_plaetze,betreute_kinder,Geburten,Bevoelkerung
9272116,      Eppenschlag,33,17,24,23
9272118,      Freyung,229,231,210,219
9272119,      Fürsteneck,40,41,27,22
9272120,      Grafenau,397,301,276,228
9272121,      Grainet,107,110,81,94
9272122,      Haidmühle,60,39,24,41
9272126,      Hinterschmiding,75,83,63,83
9272127,      Hohenau,138,119,94,103
9272128,      Innernzell,82,59,59,59
9272129,      Jandelsbrunn,108,104,106,98
9272134,      Mauth,66,48,54,44
9272136,      Neureichenau,183,175,146,135
9272138,      Perlesreut,137,118,109,93
9272140,      Ringelai,72,55,48,48
9272141,     Röhrnbach,175,145,107,121
9272142,      Saldenburg,72,71,74,62
9272143,      Sankt Oswald-Riedlhütte,95,76,70,82
9272146,      Neuschönau,102,86,74,68
9272147,      Schönberg,140,131,103,118
9272149,      Spiegelau,110,107,83,99
9272150,      Thurmansbang,77,75,52,73
9272151,      Waldkirchen,370,337,318,341
9272152,      Zenting,25,21,26,26
